Threads	InitStressTermsForElems	 IntegrateStressForElems	CalcHourglassControlForElems	CalcFBHourglassForceForElems	CalcAccelerationForNodes	ApplyAccelerationBoundaryConditionsForNodes	CalcVelocityForNodes	 CalcKinematicsForElems	CalcLagrangeElements	CalcMonotonicQGradientsForElems	Region ApplyMaterialPropertiesForElems	EvalEOSForElems	CalcEnergyForElems:KERNEL_1	CalcPressureForElems	CalcEnergyForElems:KERNEL_2	CalcEnergyForElems:KERNEL_3	CalcEnergyForElems:KERNEL_4	CalcEnergyForElems:KERNEL_5	CalcSoundSpeedForElems	UpdateVolumesForElems	CalcCourantConstraintForElems	CalcHydroConstraintForElems
1	7899.46	126778	146886	143022	7538.74	60.5436	4833.93	124187	5580.25	69519.3	7316.57	61926.6	8370.21	18824.4	13696.5	3169.52	15716.6	11451.3	5702.35	1757.6	7199.04	2514.85
2	4524.08	76392.4	82179.3	97941.3	4168.32	36.727	2861.76	65397	3184.05	37558.5	4193.64	36020.7	5077.7	10965.6	8168.26	1870.64	9271.02	6859.86	3511.29	1089.31	4012.94	1453.06
3	3460.03	54178.4	60471.5	69609.9	2989.15	32.0076	2296.17	45433.9	2393.96	26532.1	3237.8	27409.9	4033.58	8470.27	6506.79	1452.98	7223.33	5377.33	2791.97	872.689	2967.8	1087.18
4	3123.26	43000	51914.6	56079.5	2492.23	28.1363	2092.24	35575.7	2111	20928.2	2784.99	23707.5	3615.23	7415.66	5780.69	1297.47	6278.95	4717.8	2449.81	783.003	2417.22	938.254
5	2939.99	36786.3	47327.6	47585	2230.21	25.7166	1981.98	29483.1	2014.59	17582.2	2538.32	21383.5	3347.81	6872.73	5433.19	1211.85	5723.27	4291.47	2226.27	743.004	2089.79	832.963
6	2816.37	32629.2	45011.6	43018.8	2120.11	25.8719	1921.59	25416.9	1965.17	15345.5	2368.89	20104.9	3178.39	6517.53	5207.55	1155.08	5432.66	4066.25	2114.25	715.682	1873.76	750.308
7	2744.83	29990.2	43621.2	39573.9	2083.46	21.1289	1876.46	22458	1900.47	13852	2260.37	19162	3095.52	6318.97	5109.22	1148.28	5250.42	3908.32	2045.32	679.5	1739.39	711.978
8	2698.45	28014.8	42526.2	37287	2070.76	20.4321	1883.74	20314.2	1892.84	12677.6	2177.87	18741.8	3053.42	6176.46	5064.96	1127.13	5177.41	3853.43	2028.14	660.277	1651.72	684.843
9	2663.23	26704.2	41711.6	35867.5	2057.11	20.6658	1858.46	18614	1891.81	11809.2	2125.68	18325	3031.12	6054.13	5046.47	1116.81	5144.38	3809.24	1989.89	648.994	1574.5	646.908
10	2595.59	25741.1	41065.7	34987.6	2059.69	20.3185	1896.8	17299	1905.54	11268.5	2086.39	18038.3	3046.96	5990.4	5034.34	1098.63	5085.49	3766.22	1971.65	639.099	1520.29	619.159
11	2592.14	25059.2	40493.3	34419.2	2056.72	18.3236	1875.77	16205	1912.62	10796	2054.54	17762.8	3067.38	5964.84	5041.52	1114	5115.07	3750.41	1967.3	634.236	1480.21	582.337
12	2548.01	24611.5	40233	34122.9	2073.71	18.4972	1886.19	15415.7	1902.63	10433.8	2016.26	17552.1	3028.5	5912.32	5067.56	1123.26	5111.48	3746	1967.43	615.003	1439.22	567.802
13	2544.86	24217.9	40146.5	33890.8	2098.52	18.9089	1909.19	14624.2	1919.25	10158.1	1994.44	17453.2	3013.96	5879.03	5092.09	1125.9	5146.45	3763.25	1966.56	622.003	1444.31	554.826
14	2558.88	23759.2	40023.7	33570	2110.1	19.0199	1911.06	13975.4	1988.6	9916.02	1971.25	17273.6	3005.45	5948.31	5140.43	1145.34	5175.44	3735.47	1958.44	607.973	1409.24	545.937
15	2550.93	23544.2	39892.9	33341.1	2130.07	19.4624	1946.34	13397.6	1993.58	9756.73	1955.34	17215.3	3024.07	5963.04	5143.12	1150.09	5181.32	3710.2	1943.52	599.449	1416.21	545.028
16	2574.35	23287.3	39421.9	33148.1	2148.85	18.9674	1953.98	12920.6	1992.38	9608.34	1949.2	17044.8	2987.31	5942.41	5181.64	1150.43	5147.53	3672.94	1928.47	594.942	1389.94	542.982
17	2568.07	23203.7	39058.7	33015.5	2187.51	18.7893	1992.99	12480.7	2026.57	9438.99	1943.39	16981.6	3020.44	6018.76	5206.65	1173.35	5194.32	3668.29	1917.63	597.913	1355.72	547.221
18	2536.07	22943.7	38618	32977.3	2205.23	19.5484	2002.47	12097.3	2041.85	9384.07	1952.53	16912.8	3039.29	6048.43	5257.35	1170.31	5172.13	3640.52	1901.59	597.884	1351.15	547.446